Reaction_type,Reactant1_smiles,Reactant1_name,Reactant1_amount,Reactant2_smiles,Reactant2_name,Reactant2_amount,Product1_smiles,Product_name,Product1_yield,mechanical_treatment,treatmant_duration,treatment_magnitude ,URL,,
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,IC1=CC=C(I)C=C1,"1,4-diiodobenzene",0.98,IC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-iodo-4-(phenylethynyl)benzene,24.57,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C(OC)C=C1,1-bromo-4-methoxybenzene,0.98,C[Si](C)(C#CC1=CC=C(OC)C=C1)C,((4-methoxyphenyl)ethynyl)trimethylsilane,0,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=C(OC)C=C1,1-bromo-4-methoxybenzene,0.98,COC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-methoxy-4-(phenylethynyl)benzene,0,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C(C)C=C1,1-bromo-4-methylbenzene,0.98,CC1=CC=C(C#C[Si](C)(C)C)C=C1,trimethyl(p-tolylethynyl)silane,26,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=C(C)C=C1,1-bromo-4-methylbenzene,0.98,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-methyl-4-(phenylethynyl)benzene,33,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C([H])C=C1,bromobenzene,0.98,C[Si](C)(C)C#CC1=CC=CC=C1,trimethyl(phenylethynyl)silane,90,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=C([H])C=C1,bromobenzene,0.98,C1(C#CC2=CC=CC=C2)=CC=CC=C1,"1,2-diphenylethyne",93,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C(Cl)C=C1,1-chloro-4-bromoobenzene,0.98,C[Si](C)(C#CC1=CC=C(Cl)C=C1)C,((4-chlorophenyl)ethynyl)trimethylsilane,4,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=C(Cl)C=C1,1-chloro-4-bromoobenzene,0.98,ClC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-chloro-4-(phenylethynyl)benzene,7,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C(C=O)C=C1,4-bromobenzaldehyde,0.98,O=CC1=CC=C(C#C[Si](C)(C)C)C=C1,4-((trimethylsilyl)ethynyl)benzaldehyde,87,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=C(C=O)C=C1,4-bromobenzaldehyde,0.98,O=CC1=CC=C(C#CC2=CC=CC=C2)C=C1,4-(phenylethynyl)benzaldehyde,89,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C(C=O)C=C1,4-bromobenzaldehyde,0.98,O=CC1=CC=C(C#C[Si](C)(C)C)C=C1,4-((trimethylsilyl)ethynyl)benzaldehyde,89,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=C(C=O)C=C1,4-bromobenzaldehyde,0.98,O=CC1=CC=C(C#CC2=CC=CC=C2)C=C1,4-(phenylethynyl)benzaldehyde,85,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C([N+]([O-])=O)C=C1,1-bromo-4-nitrobenzene,0.98,O=[N+](C1=CC=C(C#C[Si](C)(C)C)C=C1)[O-],trimethyl((4-nitrophenyl)ethynyl)silane,66,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=C([N+]([O-])=O)C=C1,1-bromo-4-nitrobenzene,0.98,O=[N+](C1=CC=C(C#CC2=CC=CC=C2)C=C1)[O-],1-nitro-4-(phenylethynyl)benzene,5,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
