Reaction_type,Reactant1_smiles,Reactant1_name,Reactant1_amount,Reactant2_smiles,Reactant2_name,Reactant2_amount,Reactant3_smiles,,Reactant3_amount,Product1_smiles,Product1_name,Product1_yield,Product2_smiles,Product2_yield,Product3_smiles,Product3_yield,Temperature,Mechanical_treatment,Treatment_magnitude,Treatment_duration,URL,Solvent,Catalyst
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Li+].[Br-],lithiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,94,,,,,,Liquid Assisted Grinding,,,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[Br-],sodiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,99,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[Br-],sodiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,99,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[Br-],sodiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,92,,,,,,Liquid Assisted Grinding,,,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[Cl-],sodiumchloride,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Cl-],cyclopentadienylrhenium(I)chloride,9.2,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+].[Cl-],copper(I)chloride,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Cl-],cyclopentadienylrhenium(I)chloride,3.6,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+2].[Cl-].[Cl-],copper(II)chloride,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Cl-],cyclopentadienylrhenium(I)chloride,14.1,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,Cl[Cu-2](Cl)([OH2+])[OH2+],copper(II)chloride ,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Cl-],cyclopentadienylrhenium(I)chloride,74.25,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Cu+2].[Cl-].[Cl-],copper(II)chloride,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)chloride,69.3,,,,,,Liquid Assisted Grinding,,,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
Halogenation,O=[C][Re]([C]=O)([C]=O)C1=CC=CC1,cyclopentadienylrhenium(I) tricarbonyl,0.298,[Na+].[Br-],sodiumbromide,0.596,[O-][O+]=O,oxone,0.596,[Re]C1=CC=CC1.[Br-],cyclopentadienylrhenium(I)bromide,88.11,,,,,,Ball Mill,30 Hz,0.5,https://pubs.rsc.org/en/content/articlelanding/2014/gc/c3gc42104j,,
